Car Class,Team ID,Cust ID,Name,Start Pos,Car #,Out ID,Out,Interval,Laps Led,Qualify Time,Average Lap Time,Fastest Lap Time,Fast Lap#,Laps Comp,Inc,Club ID,Club,Max Fuel Fill%,Weight Penalty (KG),Session Name,AI
Hosted All Cars Class,112878,112878,Pedro de Oliveira S,1,6,0,Running,-00.000,12,,16.715,16.501,9,12,0,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,50693,50693,Victor Miranda,2,53,0,Running,-00.378,0,,16.746,16.479,9,12,0,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,355110,355110,Han An,3,13,0,Running,-01.148,0,,16.810,16.536,8,12,4,47,Asia,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,393663,393663,Gaël VALERO,4,10,0,Running,-01.422,0,,16.833,16.531,11,12,4,39,France,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,442776,442776,Junhwi Kim,5,12,0,Running,-02.121,0,,16.891,16.550,7,12,0,47,Asia,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,333655,333655,Caio Vinicius Gaspar,7,7,0,Running,-02.464,0,,16.919,16.576,9,12,4,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,479734,479734,Gaston Presta Kulhavy,6,9,0,Running,-03.165,0,,16.978,16.595,6,12,0,24,Hispanoamérica,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,329347,329347,Fabio Zamperlini,9,327,0,Running,-03.679,0,,17.021,16.604,11,12,0,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,246250,246250,Jackson Rezende,11,5,0,Running,-04.042,0,,17.051,16.542,12,12,6,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,290501,290501,Roger Rezende,10,4,0,Running,-05.359,0,,17.160,16.662,8,12,0,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,709753,709753,Allen Yang,15,63,0,Running,-06.090,0,,17.221,16.723,9,12,4,47,Asia,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,361381,361381,Laui Santi,12,138,0,Running,-08.204,0,,17.397,16.740,8,12,0,45,Brazil,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,224144,224144,Donghyuk Kang,8,14,0,Running,-09.721,0,,17.524,16.590,8,12,2,47,Asia,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,478611,478611,Nico Godoy,13,79,0,Running,-10.686,0,,17.604,16.811,4,12,4,24,Hispanoamérica,100,0,*NEW* AMX Global League 2022-09 Race 16,0
Hosted All Cars Class,519352,519352,Diego Villarreal de León,14,22,0,Running,-11.034,0,,17.633,16.722,8,12,4,24,Hispanoamérica,100,0,*NEW* AMX Global League 2022-09 Race 16,0
